i,w,j1,j2,factor_e,exact_e_0,factor_c,calc_e_0,rad
158,158,0.3746065934159122,-0.9271838545667872,5.486388196345999,-20.88787830671453,5.505170068027211,-20.88140457745093,0.8777777777777778
159,159,0.3583679495453002,-0.9335804264972016,5.513268489755529,-20.60207039064122,5.543990929705213,-20.59693087842265,0.8833333333333333
160,160,0.3420201433256689,-0.9396926207859084,5.540482630427273,-20.31197055829865,5.486303854875283,-20.30528577940328,0.8888888888888888
161,161,0.3255681544571566,-0.9455185755993168,5.56800413437332,-20.017768865398,5.538866213151927,-20.011469044628377,0.8944444444444445
162,162,0.3090169943749475,-0.9510565162951536,5.595798770490464,-19.71966489544928,5.612743764172335,-19.71223011854083,0.9
163,163,0.2923717047227366,-0.9563047559630355,5.623823253780513,-19.4178684694954,5.661360544217685,-19.4120521856058,0.9055555555555556
164,164,0.2756373558169992,-0.9612616959383188,5.6520237488963705,-19.112600437503016,5.536281179138321,-19.10713526763605,0.9111111111111112
165,165,0.258819045102521,-0.9659258262890682,5.680334158917709,-18.804093563715337,5.593877551020407,-18.798685449468355,0.9166666666666666
166,166,0.2419218955996677,-0.9702957262759964,5.7086741695965255,-18.49259352139923,5.527845804988661,-18.48666933066198,0.9222222222222224
167,167,0.2249510543438652,-0.9743700647852352,5.736947012336467,-18.17836001671343,5.5940589569161,-18.172851562872182,0.9277777777777778
168,168,0.2079116908177593,-0.9781476007338056,5.765036898383638,-17.86166806735335,5.664625850340133,-17.85607355919668,0.9333333333333332
169,169,0.1908089953765449,-0.981627183447664,5.792806059757506,-17.54280946985042,5.374739229024942,-17.535513288591684,0.9388888888888888
170,170,0.1736481776669302,-0.984807753012208,5.820091305701824,-17.222094500811195,5.467392290249433,-17.21626940644137,0.9444444444444444
171,171,0.1564344650402309,-0.9876883405951375,5.846699961447418,-16.899853913217505,5.3232199546485255,-16.892705802688003,0.95
172,172,0.1391731009600653,-0.9902680687415704,5.872404990826199,-16.576441310804626,5.132108843537415,-16.567344041009047,0.9555555555555556
